            0.0	    -1.36639229	     0.08355856
     0.15789474	    -1.07820607	     0.06955576
     0.31578947	    -1.06944112	     0.09095476
     0.47368421	    -1.06800026	     0.08481715
     0.63157895	    -0.96419514	     0.11412219
     0.78947368	    -1.07312987	     0.23900913
     0.94736842	    -0.94542473	     0.23970427
     1.10526316	    -0.71847209	     0.17962626
     1.26315789	    -0.67181878	     0.15913203
     1.42105263	    -0.91488917	      0.2392407
     1.57894737	     -1.2810697	     0.23348469
     1.73684211	     -1.3532971	     0.37295252
     1.89473684	    -1.29808948	     0.39551551
     2.05263158	    -1.32069326	     0.38094794
     2.21052632	     -1.4215827	      0.3729212
     2.36842105	    -1.47857825	     0.26930828
     2.52631579	    -1.40778049	     0.35333622
     2.68421053	    -1.31611858	     0.40410077
     2.84210526	    -1.27161756	     0.39697361
            3.0	    -1.26095268	     0.41879893
